ppg,beat
0.3128,0.3128
0.6256,0.3128
1.2512,0.3128
0.9384,0.3128
0.9384,0.3128
5.6305,305.6109
0.6256,305.9238
0.0,0.3128
0.3128,0.3128
0.6256,0.3128
0.6256,0.3128
6.2561,305.6109
1.564,305.6109
0.6256,305.9238
0.0,0.3128
5.6305,305.9238
1.2512,305.6109
0.0,0.3128
0.3128,0.3128
0.3128,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.3128,0.3128
0.6256,0.3128
0.9384,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.9384,0.3128
0.3128,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.9384,0.3128
0.9384,0.3128
0.6256,0.3128
5.3177,305.9238
1.2512,304.9853
0.0,0.3128
0.3128,0.3128
0.3128,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.9384,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.3128,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.9384,0.3128
0.6256,0.3128
5.6305,305.9238
1.2512,305.9238
0.0,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.9384,0.3128
0.6256,0.3128
5.6305,305.9238
1.2512,305.9238
0.0,0.3128
0.3128,0.3128
0.9384,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.9384,0.3128
5.3177,305.9238
1.2512,305.9238
0.6256,305.9238
0.3128,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.3128,0.3128
0.6256,0.3128
0.6256,0.3128
0.9384,0.3128
5.3177,305.9238
1.564,305.6109
0.6256,305.6109
0.0,0.3128
0.0,0.3128
0.3128,0.3128
0.6256,0.3128
0.3128,0.3128
0.6256,0.3128
0.6256,0.3128
0.9384,0.3128
5.6305,305.6109
1.2512,305.6109
0.6256,305.9238
0.0,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.9384,0.3128
5.6305,305.6109
1.2512,305.6109
0.6256,305.6109
0.0,0.3128
0.3128,0.3128
0.3128,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.9384,0.3128
0.6256,0.3128
5.9433,305.6109
1.2512,304.9853
0.0,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
5.6305,305.9238
1.2512,305.6109
5.3177,305.6109
0.0,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.0,0.6256
0.6256,0.3128
0.6256,0.3128
0.9384,0.3128
5.6305,305.9238
1.2512,305.6109
0.6256,305.9238
0.6256,305.9238
0.0,0.3128
5.3177,305.6109
0.3128,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.3128,0.3128
0.6256,0.3128
0.6256,0.3128
5.6305,305.6109
1.2512,305.6109
0.6256,305.9238
0.0,0.3128
0.6256,0.3128
0.6256,0.3128
0.6256,0.3128
0.3128,0.3128
0.0,0.3128
0.9384,0.3128
0.6256,0.3128
0.6256,0.3128
0.9384,0.3128
0.9384,0.3128
0.6256,0.3128
